ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 379, 26, 17]",512,0.21941280364990234
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 88, 67, 56]",512,0.20485949516296387
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 113, 23, 12]",512,0.19907593727111816
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 510, 34, 33]",512,0.2376406192779541
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 409, 390, 141]",512,0.17832517623901367
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 444, 311, 205]",512,0.16905665397644043
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 393, 35, 3]",512,0.17553043365478516
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 478, 244, 210]",512,0.2543199062347412
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 45, 8, 2]",512,0.16455912590026855
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 445, 339, 112]",512,0.16755127906799316
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 370, 31, 7]",512,0.1735365390777588
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 228, 152, 54]",512,0.17353606224060059
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 349, 174, 45]",512,0.31968140602111816
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 386, 141, 71]",512,0.18450689315795898
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 499, 360, 219]",512,0.17852377891540527
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 36, 25, 3]",512,0.17752456665039062
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 82, 10, 8]",512,0.28474974632263184
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 189, 81, 64]",512,0.18002676963806152
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 510, 421, 202]",512,0.17240095138549805
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 275, 35, 10]",512,0.1763310432434082
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 168, 72, 7]",512,0.17504382133483887
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 315, 213, 76]",512,0.18151473999023438
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 81, 70, 36]",512,0.18550395965576172
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 463, 244, 28]",512,0.19248747825622559
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 110, 42, 28]",512,0.17852282524108887
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 487, 51, 24]",512,0.17453384399414062
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 468, 83, 6]",512,0.16455912590026855
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 439, 376, 279]",512,0.18417716026306152
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 393, 203, 154]",512,0.18151402473449707
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 472, 211, 40]",512,0.17453360557556152
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 455, 453, 272]",512,0.1685490608215332
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 429, 48, 24]",512,0.16755318641662598
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 51, 11, 3]",512,0.18051695823669434
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 393, 8, 2]",512,0.18102502822875977
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 155, 8, 2]",512,0.1630876064300537
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 16, 3, 3]",512,0.17390227317810059
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 262, 222, 113]",512,0.17055630683898926
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 393, 211, 22]",512,0.173537015914917
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 62, 42, 21]",512,0.17553067207336426
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 74, 15, 13]",512,0.17553091049194336
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 501, 422, 66]",512,0.16655445098876953
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 334, 293, 289]",512,0.17752552032470703
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 186, 133, 61]",512,0.1730482578277588
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 490, 57, 34]",512,0.18350911140441895
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 256, 32, 14]",512,0.1795196533203125
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 423, 352, 37]",512,0.17527079582214355
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 296, 279, 204]",512,0.16655516624450684
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 436, 237, 161]",512,0.1765284538269043
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 506, 212, 121]",512,0.17453265190124512
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 445, 272, 5]",512,0.17353463172912598
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 141, 85, 30]",512,0.18450593948364258
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 408, 70, 50]",512,0.1713852882385254
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 120, 47, 2]",512,0.17353487014770508
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 484, 190, 35]",512,0.17553043365478516
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 181, 22, 10]",512,0.16905879974365234
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 134, 119, 47]",512,0.20046401023864746
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 491, 430, 286]",512,0.20046353340148926
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 459, 280, 174]",512,0.1735367774963379
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 304, 259, 222]",512,0.17253875732421875
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 262, 219, 90]",512,0.22889947891235352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 158, 11, 6]",512,0.18123888969421387
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 168, 143, 61]",512,0.17058587074279785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 16, 15, 3]",512,0.16092729568481445
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 48, 11, 6]",512,0.1817474365234375
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 396, 26, 17]",512,0.17253804206848145
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 109, 30, 19]",512,0.17253875732421875
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 382, 90, 4]",512,0.18251276016235352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 257, 176, 44]",512,0.16455936431884766
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 478, 3, 3]",512,0.1765279769897461
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 450, 131, 76]",512,0.17552804946899414
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 151, 4, 2]",512,0.17717242240905762
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 38, 33, 16]",512,0.1738579273223877
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 327, 117, 55]",512,0.17504262924194336
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 432, 136, 37]",512,0.16655468940734863
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 100, 89, 79]",512,0.17852282524108887
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 159, 6, 5]",512,0.17752504348754883
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 66, 24, 17]",512,0.17353606224060059
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 321, 264, 217]",512,0.1760387420654297
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 241, 97, 22]",512,0.17253875732421875
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 115, 20, 18]",512,0.1735365390777588
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 393, 390, 208]",512,0.18251681327819824
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 8, 5, 5]",512,0.1745319366455078
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 402, 30, 16]",512,0.18749785423278809
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 497, 350, 198]",512,0.16655516624450684
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 72, 64, 33]",512,0.17253899574279785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 95, 40, 37]",512,0.19898176193237305
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 307, 109, 95]",512,0.2620093822479248
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 207, 193, 109]",512,0.2859470844268799
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 24, 19, 5]",512,0.18949365615844727
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 356, 59, 58]",512,0.1934833526611328
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 296, 254, 14]",512,0.17852234840393066
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 157, 49, 48]",512,0.17154216766357422
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 106, 25, 13]",512,0.18002676963806152
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 391, 170, 130]",512,0.18051671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 477, 174, 18]",512,0.17253756523132324
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 161, 47, 41]",512,0.17691802978515625
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 492, 138, 21]",512,0.17852258682250977
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 164, 131, 24]",512,0.1904916763305664
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 16, 14, 3]",512,0.1685492992401123
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 358, 121, 86]",512,0.18051886558532715
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 372, 324, 76]",512,0.1831836700439453
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 248, 214, 111]",512,0.19747304916381836
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 211, 52, 37]",512,0.17852330207824707
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 175, 140, 113]",512,0.19049453735351562
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 382, 317, 40]",512,0.2922189235687256
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 105, 33, 10]",512,0.24933362007141113
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 466, 384, 132]",512,0.20046305656433105
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 12, 12, 9]",512,0.12267112731933594
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 184, 162, 18]",512,0.2917342185974121
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 477, 421, 410]",512,0.3241398334503174
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 307, 233, 104]",512,0.13557887077331543
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 239, 115, 48]",512,0.1870110034942627
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 511, 10, 5]",512,0.17852210998535156
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 242, 71, 44]",512,0.16655445098876953
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 421, 245, 194]",512,0.20245766639709473
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 442, 122, 103]",512,0.1934821605682373
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 272, 194, 126]",512,0.1795201301574707
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 95, 76, 63]",512,0.18051719665527344
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 453, 167, 110]",512,0.1816880702972412
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 211, 211, 62]",512,0.18151545524597168
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 428, 372, 42]",512,0.18550348281860352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 373, 314, 12]",512,0.17054510116577148
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 74, 65, 51]",512,0.1266622543334961
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 310, 78, 46]",512,0.18849587440490723
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 420, 41, 2]",512,0.1820225715637207
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 252, 167, 29]",512,0.22915959358215332
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 486, 409, 279]",512,0.17752552032470703
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 243, 12, 3]",512,0.17353534698486328
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 504, 401, 345]",512,0.17903399467468262
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 65, 37, 21]",512,0.18051671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 439, 63, 39]",512,0.19248414039611816
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 398, 226, 4]",512,0.17253828048706055
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 483, 400, 151]",512,0.16655445098876953
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 160, 112, 64]",512,0.22739195823669434
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 494, 86, 30]",512,0.17652583122253418
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 232, 174, 86]",512,0.18501591682434082
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 222, 48, 16]",512,0.17154192924499512
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 340, 93, 28]",512,0.1825113296508789
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 350, 282, 235]",512,0.17453336715698242
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 292, 195, 100]",512,0.1904911994934082
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 410, 298, 198]",512,0.21941280364990234
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 494, 131, 67]",512,0.18527817726135254
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 480, 426, 25]",512,0.1701216697692871
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 257, 7, 7]",512,0.17971348762512207
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 397, 378, 208]",512,0.1762866973876953
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 168, 13, 11]",512,0.17867374420166016
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 210, 65, 40]",512,0.1840205192565918
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 97, 46, 19]",512,0.1765279769897461
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 458, 251, 44]",512,0.12865567207336426
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 449, 19, 4]",512,0.17154264450073242
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 14, 10, 9]",512,0.18051719665527344
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 174, 29, 12]",512,0.18350911140441895
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 279, 198, 138]",512,0.17036724090576172
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 16, 16, 3]",512,0.18120503425598145
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 178, 165, 8]",512,0.17418527603149414
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 359, 298, 129]",512,0.1825118064880371
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 233, 229, 123]",512,0.17852234840393066
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 135, 42, 24]",512,0.17253804206848145
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 207, 191, 179]",512,0.1715404987335205
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 341, 56, 36]",512,0.182511568069458
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 409, 148, 17]",512,0.1765282154083252
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 90, 16, 8]",512,0.18251276016235352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 292, 248, 127]",512,0.17704486846923828
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 419, 62, 59]",512,0.22440028190612793
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 495, 156, 32]",512,0.27426671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 420, 154, 6]",512,0.14162039756774902
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 254, 21, 2]",512,0.16156673431396484
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 419, 170, 97]",512,0.3366086483001709
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 188, 81, 17]",512,0.19946551322937012
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 402, 32, 10]",512,0.18288373947143555
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 283, 268, 220]",512,0.17553091049194336
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 228, 50, 34]",512,0.14760589599609375
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 33, 16, 9]",512,0.18051648139953613
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 102, 50, 30]",512,0.18051671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 510, 157, 75]",512,0.1771869659423828
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 336, 34, 3]",512,0.1855027675628662
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 40, 24, 3]",512,0.17633318901062012
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 334, 51, 23]",512,0.1790330410003662
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 62, 41, 2]",512,0.1795196533203125
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 229, 138, 9]",512,0.17253899574279785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 474, 40, 17]",512,0.17453336715698242
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 322, 177, 116]",512,0.1760399341583252
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 376, 252, 166]",512,0.17854714393615723
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 259, 249, 119]",512,0.17054295539855957
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 6, 3, 2]",512,0.17752528190612793
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 235, 23, 14]",512,0.1667194366455078
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 316, 88, 88]",512,0.1894700527191162
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 271, 256, 70]",512,0.1829085350036621
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 464, 331, 100]",512,0.1735365390777588
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 383, 43, 28]",512,0.18749690055847168
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
